id,pop
ID01,UAE
ID09,UAE
ID33,Oman
ID65,Sri_Lanka
ID18,UAE
ID26,Oman
ID34,Oman
ID50,Oman
ID66,Sri_Lanka
ID43,UAE
ID36,Oman
ID44,UAE
ID60,Saudi_Arabia
ID05,UAE
ID13,UAE
ID37,Oman
ID61,Saudi_Arabia
ID30,Bangladesh
ID46,Oman
ID23,Sri_Lanka
ID47,Oman
ID63,Sri_Lanka
ID56,UAE
ID64,Sri_Lanka
